,Year-Quarter,Year,Quarter,Ticker,Security,Sector,Sub_Sector,Price,Stock_Price_Prev_Quarter,Stock_Price_Change_Ratio,EPS,PE_Ratio,Total_Debt,Total_Equity,Debt_to_Equity_Ratio,Net_Income,Return_on_Equity,Dividends,Dividend_Yield_Percent,Total_Return,Total_Return_Annualized,Date_Added,Founded,Dividend_Payer,Industry_PE,PE_vs_Industry,Year-Quarter_After_3Y,Year-Quarter_After_5Y,PE_ratio_After_3Y,PE_ratio_After_5Y,Price_After_3Y,Price_After_5Y,Price_Change_After_3Y,Price_Change_After_5Y,Dividends_After_3Y,Dividends_After_5Y,Dividend_Yield_After_3Y,Dividend_Yield_After_5Y,Total_Return_After_3Y,Total_Return_After_5Y,CAGR_3Y,CAGR_5Y,PE_Category,D/E_Category,ROE_Segment,Value_Investing,Investment_Type
1,2014-04-01,2014,2,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,35.79,38.42,-0.06845393024466428,2.11,16.96,5400000000.0,5630000000.0,0.96,710000000.0,0.1348,0.188842,0.004915200416449766,-0.06353872982821451,-0.23094166610406253,2000-06-05,1999,1,23.188787878787878,0.7313879487212995,2017-Q2,2019-Q2,29.23,21.7,52.03,75.53,0.4537580329701034,1.1103660240290583,1.350421,2.406421,0.0377317965912266,0.06723724504051411,0.4914898295613299,1.1776032690695724,14.254531041392626,16.84113093447912,2_Fairly Valued,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
2,2014-07-01,2014,3,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,37.24,35.79,0.04051411008661643,2.05,18.16,4740000000.0,5640000000.0,0.84,690000000.0,0.1258,0.094421,0.0026381950265437276,0.04315230511316016,0.18410683589791677,2000-06-05,1999,1,23.62030303030303,0.7688301025055486,2017-Q3,2019-Q3,29.2,19.98,56.64,66.93,0.5209452201933404,0.7972610096670247,1.256,2.64,0.03372717508055854,0.07089151450053706,0.554672395273899,0.8681525241675618,15.84562290221767,13.313711881215728,2_Fairly Valued,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
3,2014-10-01,2014,4,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,36.79,37.24,-0.012083780880773443,1.47,25.02,5510000000.0,5300000000.0,1.04,500000000.0,0.0902999999999999,0.0,0.0,-0.012083780880773443,-0.047466053426144406,2000-06-05,1999,1,25.727575757575757,0.9724973793005972,2017-Q4,2019-Q4,30.75,21.79,64.58,73.2,0.7553683066050556,0.9896711062788803,1.537,2.8200000000000003,0.04177765697200326,0.07665126393041588,0.7971459635770592,1.0663223702092965,21.57971395333702,15.62177052835847,3_Expensive,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
4,2015-01-01,2015,1,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,34.86,36.79,-0.05245990758358254,1.1,31.69,3280000000.0,4240000000.0,0.77,370000000.0,0.0701,0.2,0.005436259853220984,-0.04702364773036156,-0.1752382799065907,2000-06-05,1999,1,27.67,1.1452837007589447,2018-Q1,2020-Q1,118.41,33.04,69.86,79.95,1.0040160642570282,1.293459552495697,1.3370000000000002,2.8,0.03835341365461848,0.08032128514056225,1.0423694779116466,1.3737808376362595,26.875598478526584,18.87434142904578,3_Expensive,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
5,2015-04-01,2015,2,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,38.28,34.86,0.09810671256454384,0.94,40.72,3250000000.0,4160000000.0,0.78,310000000.0,0.0647,0.1,0.002868617326448652,0.10097532989099249,0.46929956663142836,2000-06-05,1999,1,28.21363636363636,1.4432737232157242,2018-Q2,2020-Q2,87.07,34.3,62.69,74.42,0.6376698014629048,0.9440961337513061,1.386,2.88,0.036206896551724134,0.07523510971786833,0.6738766980146289,1.0193312434691744,18.733832950652342,15.091039590730926,4_Highly Overpriced,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
6,2015-07-01,2015,3,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,37.98,38.28,-0.007836990595611382,0.82,46.32,3150000000.0,4110000000.000001,0.77,280000000.0,0.0622,0.1,0.002612330198537095,-0.0052246603970742865,-0.020735428857391325,2000-06-05,1999,1,23.020909090909093,2.0120838763179716,2018-Q3,2020-Q3,69.37,42.4,63.13,93.71,0.6621906266456032,1.4673512374934177,1.435,2.78,0.03778304370721433,0.07319641916798315,0.6999736703528174,1.540547656661401,19.347703032859286,20.499562246830116,4_Highly Overpriced,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
7,2015-10-01,2015,4,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,35.12,37.98,-0.0753027909426014,1.19,29.52,3310000000.0,4170000000.0,0.79,400000000.0,0.0962,0.115,0.003027909426013692,-0.0722748815165877,-0.2592404456649965,2000-06-05,1999,1,25.478484848484847,1.1586246268390443,2018-Q4,2020-Q4,63.33,43.25,62.06,99.49,0.7670842824601369,1.8328587699316627,1.633,2.845,0.04649772209567198,0.08100797266514807,0.8135820045558089,1.9138667425968108,21.949230971149227,23.849408665421002,3_Expensive,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
8,2016-01-01,2016,1,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,35.12,35.12,0.0,1.35,26.01,3250000000.0,4050000000.0,0.8,460000000.0,0.1114,0.0,0.0,0.0,0.0,2000-06-05,1999,1,24.475151515151516,1.0627104793977813,2019-Q1,2021-Q1,20.63,45.11,73.03,117.3,1.0794419134396356,2.33997722095672,1.633,3.039,0.04649772209567198,0.08653189066059226,1.1259396355353077,2.426509111617312,28.583026289993498,27.92940447438097,3_Expensive,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
9,2016-04-01,2016,2,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,38.28,35.12,0.08997722095672,1.38,27.74,3480000000.0,4170000000.0,0.83,460000000.0,0.1123,0.23,0.006548974943052392,0.0965261958997724,0.4456928913766285,2000-06-05,1999,1,22.24,1.2473021582733814,2019-Q2,2021-Q2,21.7,43.84,75.53,130.64,0.9730929989550678,2.4127481713688606,1.5670000000000002,3.003,0.040935214211076286,0.07844827586206897,1.0140282131661444,2.491196447230929,26.285992953927774,28.40882068143007,3_Expensive,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
10,2016-07-01,2016,3,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,45.12,38.28,0.17868338557993724,1.45,31.12,3390000000.0,4350000000.0,0.78,480000000.0,0.1138,0.115,0.0030041797283176593,0.1816875653082549,0.9498924702073848,2000-06-05,1999,1,23.068484848484847,1.3490266137719047,2019-Q3,2021-Q3,19.98,46.87,66.93,149.98,0.4833776595744683,2.3240248226950353,1.7799999999999998,3.082,0.03945035460992907,0.06830673758865248,0.5228280141843975,2.392331560283688,15.049204254569148,27.67317497934694,3_Expensive,Moderate Leverage,Low but Positive ROE (Weak profitability),0,Not_Value_Investing
