Ticker,Security,Sector,Price_Start,Price_End,Price_Volatility,Start_Date,End_Date,PE_Ratio_Mean,PE_Ratio_Median,PE_Ratio_Std,PE_Ratio_First,PE_Ratio_Last,PE_Ratio_Max,PE_Ratio_Min,PE_Ratio_Zero_Count,PE_vs_Industry_Mean,PE_vs_Industry_Zero_Count,ROE_Mean,ROE_First,ROE_Last,ROE_Std,Debt_to_Equity_Mean,Debt_to_Equity_First,Debt_to_Equity_Last,Avg_Dividend_Yield,Dividend_Stability,Total_Dividends,Dividend_Payout_Volatility,PE_Ratio_Mean_,PE_vs_Industry_Mean_Excluding_Zeros,Years,CAGR_10Y,CAGR_10Y_Percent,Dividend_Payer,Dividend_Yield,PE_Ratio_Change,ROE_Change,Debt_to_Equity_Change,PE_Ratio_Range,PE_Ratio_CV,ROE_Volatility,PE_Growth,Volatility_Bin
NVDA,Nvidia,Information Technology,0.44,117.0,0.24860341289113425,2014-04-01,2024-07-01,50.131904761904764,50.05,27.657449332873494,20.56,54.88,144.45,16.42,0,1.4265126663481178,0,0.36466190476190474,0.1166,1.1552,0.2428523268566682,0.634047619047619,0.65,0.47,0.001603552216988846,0.0018846415294499327,0.1619,0.0015325257935126734,50.131904761904764,1.4265126663481178,10.250513347022586,0.7242731875449726,72.42731875449726,1,36.79545454545454,1.6692607003891056,8.9073756432247,-0.276923076923077,128.02999999999997,0.5516935664868332,0.6659657169707142,0.10051771537354925,Very High
AVGO,Broadcom,Information Technology,4.87,160.17,0.1264393758140206,2014-04-01,2024-07-01,38.637142857142855,29.875,39.876709889829556,20.44,139.16,187.98,0.0,4,1.2608639982368564,4,0.22930952380952382,0.2062,0.0886999999999999,0.19085489803043235,1.7283333333333335,0.16,1.56,0.008719107916050869,0.0034834601010614416,11.253,0.1709783031246153,42.70421052631579,1.393586524367052,10.250513347022586,0.4153844101087818,41.53844101087818,1,231.0677618069815,5.808219178082191,-0.5698351115421925,8.75,187.98,1.032082264396979,0.8323025352796343,0.20577838310811902,Low
LLY,Lilly (Eli),Health Care,50.91,884.4,0.11454403535381073,2014-04-01,2024-07-01,43.97142857142857,31.97,39.108733262809764,16.21,95.61,218.71,0.0,2,1.2798883695707455,2,0.5994928571428572,0.1914,0.6474,0.6053609120600488,4.390238095238095,0.95,4.28,0.00572689237469389,0.0023015605813179506,31.122,0.26191015029828124,46.17,1.3438827880492827,10.250513347022586,0.3256222644646838,32.56222644646838,1,61.13140836770772,4.898210980876002,2.3824451410658307,3.505263157894737,218.71,0.8894123873933345,1.0097883650276642,0.18901808165867373,Low
LRCX,Lam Research,Information Technology,5.82,81.37,0.17977422077325844,2014-04-01,2024-07-01,17.575476190476188,16.295,6.132735912112307,15.82,26.3,36.5,9.23,0,0.5411937768227212,0,0.40861666666666663,0.1328,0.4879,0.21335065138675927,1.2042857142857142,0.59,1.31,0.02156920359317817,0.022672422779687312,23.1335,0.6844278816034192,17.575476190476188,0.5411937768227212,10.250513347022586,0.32542639093144743,32.54263909314474,1,397.48281786941584,0.6624525916561315,2.6739457831325297,1.2203389830508478,27.27,0.3489371124655796,0.5221290974917632,0.050837192664874964,High
KLAC,KLA Corporation,Information Technology,47.04,772.29,0.1616651487924175,2014-04-01,2024-07-01,19.933333333333334,17.91,7.163815806577463,13.55,35.26,40.44,8.78,0,0.604645889960758,0,0.7979476190476191,0.1625,0.9082,0.39407662510939095,4.176428571428572,0.51,3.41,0.013878207982574315,0.05020527504628476,52.089999999999996,2.511787322144152,19.933333333333334,0.604645889960758,10.250513347022586,0.3222897140927896,32.22897140927896,1,110.73554421768708,1.602214022140221,4.588923076923077,5.686274509803922,31.659999999999997,0.35938875283833427,0.4938627745762766,0.0977899237696287,High
CTAS,Cintas,Industrials,13.67,200.92,0.09344184774289832,2014-04-01,2024-07-01,28.636190476190478,28.85,9.166356020499158,17.92,50.74,50.74,13.0,0,1.3642689818220948,0,0.30057380952380947,0.1707999999999999,0.3940999999999999,0.06267087104721374,1.3047619047619048,1.04,1.26,0.009027197641763645,0.020979231383671405,19.45,0.7517213598825037,28.636190476190478,1.3642689818220948,10.250513347022586,0.3115584737078705,31.15584737078705,1,142.28237015362106,1.8314732142857142,1.3073770491803287,0.2115384615384615,37.74,0.3200969077266235,0.20850409803336298,0.10686987549717486,Very Low
AMAT,Applied Materials,Information Technology,16.56,211.3,0.17974923223603909,2014-04-01,2024-07-01,18.097380952380952,16.685000000000002,7.545873709946226,19.48,23.74,59.18,9.27,0,0.576392543291873,0,0.36000952380952383,0.1205,0.4208,0.13369902641074974,1.0704761904761906,0.68,0.79,0.0039220775446218385,0.0015767643573887315,8.2,0.08826893758636077,18.097380952380952,0.576392543291873,10.250513347022586,0.286750771796483,28.6750771796483,1,49.51690821256038,0.21868583162217647,2.492116182572614,0.16176470588235292,49.91,0.41695943351148085,0.3713763597028841,0.019481300888758657,High
PGR,Progressive Corporation,Financials,20.53,253.66,0.09318600647838304,2014-04-01,2024-07-01,22.901904761904763,14.165,24.375957490947197,10.69,18.43,108.91,8.44,0,1.2729017669448208,0,0.2039452380952381,0.1748999999999999,0.3492,0.08524079294357395,3.096190476190476,2.75,2.87,0.006797862246771965,0.01364241609024643,17.094,0.890278991623878,22.901904761904763,1.2729017669448208,10.250513347022586,0.2861184229746867,28.61184229746867,1,83.26351680467609,0.7240411599625819,0.9965694682675827,0.043636363636363674,100.47,1.0643637611965964,0.417959221503217,0.05457303358261267,Very Low
MSFT,Microsoft,Information Technology,35.48,429.44,0.10425914829105667,2014-04-01,2024-07-01,29.69452380952381,27.125,8.702044111525261,13.65,35.43,54.46,13.65,0,0.8847343451686033,0,0.33658333333333335,0.2567,0.3456,0.10520803297872286,1.4176190476190476,0.92,0.82,0.004636308280925534,0.002408403751374307,20.8,0.14407379706650836,29.69452380952381,0.8847343451686033,10.250513347022586,0.28129546234294533,28.129546234294533,1,58.62457722660655,1.5956043956043957,0.346318659914297,-0.10869565217391314,40.81,0.2930521522198745,0.3125764782730068,0.09751758730377547,Low
AAPL,Apple Inc.,Information Technology,20.5,232.74,0.15282682460738292,2014-04-01,2024-07-01,20.565952380952382,18.185000000000002,7.867255404995648,13.25,38.28,38.28,10.12,0,0.6051326936901594,0,0.8356880952380953,0.312,1.3787,0.5201223473340512,2.8845238095238095,0.84,5.41,0.0034503054849234693,0.0017558014325677461,7.77,0.04304705309876399,20.565952380952382,0.6051326936901594,10.250513347022586,0.27152370385471847,27.152370385471848,1,37.90243902439025,1.889056603773585,3.4189102564102565,5.440476190476191,28.160000000000004,0.3825378596267724,0.6223881257825786,0.10904599706611307,Medium
